condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,6.0,97.22500000000002,0.15,0.0015,24.75,0.2475
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,7.0,96.25500000000004,0.0,0.0,37.45,0.3745
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,8.0,94.72000000000006,0.0,0.0,52.8,0.528
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,9.0,97.43000000000004,0.0,0.0,25.7,0.257
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,10.0,97.09500000000003,0.25,0.0025,24.05,0.2405
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,1.0,95.45500000000006,0.15,0.0015,42.6,0.426
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,2.0,96.67500000000004,0.45,0.0045000000000000005,24.6,0.246
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,3.0,95.18000000000005,0.0,0.0,48.2,0.48200000000000004
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,4.0,96.64500000000004,0.15,0.0015,30.7,0.30700000000000005
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,5.0,95.92000000000004,0.45,0.0045,31.95,0.3195
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,6.0,95.59500000000004,0.4,0.004,36.25,0.3625
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,7.0,96.63500000000003,0.1,0.001,31.75,0.3175
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,8.0,97.32500000000003,0.0,0.0,26.75,0.2675
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,9.0,96.98500000000004,0.15,0.0015,27.15,0.27149999999999996
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,10.0,96.01000000000003,0.3,0.003,34.2,0.34199999999999997
within_condition_pilot,transparent_pilot,20,10,random,hnp,1.0,97.41500000000003,0.0,0.0,25.85,0.2585
within_condition_pilot,transparent_pilot,20,10,random,hnp,2.0,96.54000000000002,0.75,0.0075000000000000015,19.6,0.196
within_condition_pilot,transparent_pilot,20,10,random,hnp,3.0,97.11000000000004,0.0,0.0,28.9,0.28900000000000003
within_condition_pilot,transparent_pilot,20,10,random,hnp,4.0,97.92500000000003,0.0,0.0,20.75,0.20750000000000002
within_condition_pilot,transparent_pilot,20,10,random,hnp,5.0,97.50500000000004,0.0,0.0,24.95,0.2495
within_condition_pilot,transparent_pilot,20,10,random,hnp,6.0,98.03000000000002,0.0,0.0,19.7,0.197
within_condition_pilot,transparent_pilot,20,10,random,hnp,7.0,97.77500000000003,0.0,0.0,22.25,0.2225
within_condition_pilot,transparent_pilot,20,10,random,hnp,8.0,97.58500000000004,0.0,0.0,24.15,0.2415
within_condition_pilot,transparent_pilot,20,10,random,hnp,9.0,95.79500000000004,0.0,0.0,42.05,0.4205
within_condition_pilot,transparent_pilot,20,10,random,hnp,10.0,98.34000000000002,0.0,0.0,16.6,0.166
within_condition_pilot,transparent_pilot,20,10,random,matched,1.0,98.32500000000002,0.0,0.0,16.75,0.1675
within_condition_pilot,transparent_pilot,20,10,random,matched,2.0,97.25500000000002,0.35,0.0035000000000000005,20.65,0.2065
within_condition_pilot,transparent_pilot,20,10,random,matched,3.0,96.91000000000003,0.45,0.0045000000000000005,22.35,0.22349999999999998
