model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
hnp,sweeping,1,144,0.06493506493506493,94.00000000000007,1,0.01,41,0.41,100,0.008011101151350886,14437
hnp,sweeping,1,145,0.06451612903225806,92.40000000000006,1,0.01,56,0.56,100,0.008182705196086318,14537
hnp,sweeping,1,146,0.06410256410256411,93.60000000000007,1,0.01,45,0.45,100,0.006899158232845366,14637
hnp,sweeping,1,147,0.06369426751592357,95.2000000000001,0,0.0,48,0.48,100,0.012840790471527726,14737
hnp,sweeping,1,148,0.06329113924050632,91.30000000000007,2,0.02,49,0.49,100,0.008986212264280766,14837
hnp,sweeping,1,149,0.06289308176100629,94.00000000000006,1,0.01,41,0.41,100,0.007110338639467955,14937
hnp,sweeping,1,150,0.0625,95.70000000000005,0,0.0,43,0.43,100,0.006042560792993754,15037
hnp,sweeping,1,151,0.06211180124223602,93.1000000000001,1,0.01,49,0.49,100,0.009172926519531756,15137
hnp,sweeping,1,152,0.0617283950617284,93.30000000000004,1,0.01,48,0.48,100,0.00873829941265285,15237
hnp,sweeping,1,153,0.06134969325153374,93.70000000000005,1,0.01,44,0.44,100,0.007746955577749759,15337
hnp,sweeping,1,154,0.06097560975609757,92.60000000000002,1,0.01,55,0.55,100,0.008299395048525185,15437
hnp,sweeping,1,155,0.06060606060606061,96.10000000000002,0,0.0,39,0.39,100,0.007097646379843354,15537
hnp,sweeping,1,156,0.06024096385542168,96.10000000000005,0,0.0,39,0.39,100,0.009972431135829539,15637
hnp,sweeping,1,157,0.059880239520958084,89.40000000000002,3,0.03,49,0.49,100,0.00854344149120152,15737
hnp,sweeping,1,158,0.05952380952380952,93.30000000000007,1,0.01,48,0.48,100,0.00857265576487407,15837
hnp,sweeping,1,159,0.0591715976331361,94.50000000000004,0,0.0,55,0.55,100,0.008631783311720938,15937
hnp,sweeping,1,160,0.058823529411764705,91.90000000000006,2,0.02,43,0.43,100,0.008140765158459544,16037
hnp,sweeping,1,161,0.05847953216374269,92.20000000000005,2,0.02,40,0.4,100,0.0079005172313191,16137
hnp,sweeping,1,162,0.05813953488372093,89.40000000000005,3,0.03,49,0.49,100,0.009079570842441171,16237
hnp,sweeping,1,163,0.057803468208092484,95.10000000000002,0,0.0,49,0.49,100,0.009262485022190958,16337
hnp,sweeping,1,164,0.0574712643678161,93.90000000000005,1,0.01,42,0.42,100,0.011293210831936448,16437
hnp,sweeping,1,165,0.05714285714285714,93.70000000000005,1,0.01,44,0.44,100,0.008645905184093862,16537
hnp,sweeping,1,166,0.056818181818181816,96.20000000000003,0,0.0,38,0.38,100,0.006559959545265883,16637
hnp,sweeping,1,167,0.05649717514124294,96.10000000000008,0,0.0,39,0.39,100,0.008662452213466168,16737
hnp,sweeping,1,168,0.056179775280898875,93.60000000000004,1,0.01,45,0.45,100,0.009414681147318334,16837
hnp,sweeping,1,169,0.0558659217877095,93.20000000000007,1,0.01,49,0.49,100,0.008070243739057332,16937
hnp,sweeping,1,170,0.05555555555555555,92.90000000000005,1,0.01,52,0.52,100,0.010849477825686335,17037
hnp,sweeping,1,171,0.055248618784530384,95.60000000000007,0,0.0,44,0.44,100,0.006735114892944693,17137
hnp,sweeping,1,172,0.054945054945054944,95.60000000000005,0,0.0,44,0.44,100,0.009607266709208489,17237
hnp,sweeping,1,173,0.0546448087431694,93.60000000000005,1,0.01,45,0.45,100,0.00839394700480625,17337
