condition,condition_role,distance_cm,power_dbm,jammer_mode,method,method_label,role,point_type,train_seed,n_training_seeds,n_fixed_trajectories_per_seed,return,ci95_low,ci95_high,return_sd_descriptive,collision_rate,switch_rate,color,marker,hollow,condition_order,jammer_order,method_order,point_order
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,jammer_greedy,Jammer-aware greedy (privileged),privileged-current-label,fixed_trajectory_mean_no_seed_ci,,0,20,97.50000000000003,,,1.4580029302424492e-14,0.0,0.25,#009E73,D,True,1,0,7,1
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,clairvoyant_oracle,Clairvoyant DP (privileged upper bound),privileged-full-sequence,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,*,True,1,0,8,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,1.0,10,20,96.23500000000004,,,,0.004,0.2965,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,2.0,10,20,96.22500000000004,,,,0.0055,0.273,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,3.0,10,20,97.37000000000003,,,,0.0,0.263,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,4.0,10,20,97.50000000000004,,,,0.0,0.25,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,5.0,10,20,96.24500000000003,,,,0.006,0.2615,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,6.0,10,20,97.22500000000002,,,,0.0015,0.2475,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,7.0,10,20,96.25500000000004,,,,0.0,0.3745,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,8.0,10,20,94.72000000000006,,,,0.0,0.528,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,9.0,10,20,97.43000000000004,,,,0.0,0.257,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,individual_training_seed,10.0,10,20,97.09500000000004,,,,0.0025,0.2405,#0072B2,o,False,2,0,0,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,HNP-DQN,learned,training_seed_mean_t95ci,,10,20,96.63000000000004,96.00948543825227,97.2505145617478,0.8674195447801815,0.00195,0.29915,#0072B2,o,False,2,0,0,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,1.0,10,20,95.45500000000006,,,,0.0015,0.426,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,2.0,10,20,96.67500000000004,,,,0.0045,0.246,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,3.0,10,20,95.18000000000004,,,,0.0,0.482,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,4.0,10,20,96.64500000000004,,,,0.0015,0.307,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,5.0,10,20,95.92000000000004,,,,0.0045,0.3195,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,6.0,10,20,95.59500000000004,,,,0.004,0.3625,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,7.0,10,20,96.63500000000003,,,,0.001,0.3175,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,8.0,10,20,97.32500000000005,,,,0.0,0.2675,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,9.0,10,20,96.98500000000004,,,,0.0015,0.2714999999999999,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,individual_training_seed,10.0,10,20,96.01000000000003,,,,0.003,0.3419999999999999,#D55E00,s,False,2,0,1,0
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,matched,Capacity-matched MLP,learned,training_seed_mean_t95ci,,10,20,96.24250000000004,95.73371785415216,96.75128214584791,0.7112283974458082,0.00215,0.33415,#D55E00,s,False,2,0,1,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,threshold,Threshold / hysteresis,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.49500000000006,,,0.2704285098641914,0.0,0.3505,#009E73,^,False,2,0,2,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,max_quality,Maximum measured quality,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.08500000000002,,,0.6401274544141438,0.0005,0.382,#E69F00,v,False,2,0,3,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,stay,Stay,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,74.0,,,0.0,0.12999999999999998,0.0,#56B4E9,<,False,2,0,4,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,random,Random,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,67.36499999999994,,,5.7179564807533945,0.12500000000000003,0.876,#CC79A7,>,False,2,0,5,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,schedule_sweep,Schedule-aware (sweep only),schedule-aware,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,X,False,2,0,6,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,jammer_greedy,Jammer-aware greedy (privileged),privileged-current-label,fixed_trajectory_mean_no_seed_ci,,0,20,97.50000000000003,,,1.4580029302424492e-14,0.0,0.25,#009E73,D,True,2,0,7,1
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,clairvoyant_oracle,Clairvoyant DP (privileged upper bound),privileged-full-sequence,fixed_trajectory_mean_no_seed_ci,,0,20,98.6,,,2.9160058604848984e-14,0.0,0.14000000000000004,#000000,*,True,2,0,8,1
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,1.0,10,20,97.41500000000003,,,,0.0,0.2585,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,2.0,10,20,96.54000000000002,,,,0.0075,0.196,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,3.0,10,20,97.11000000000004,,,,0.0,0.289,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,4.0,10,20,97.92500000000004,,,,0.0,0.2075,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,5.0,10,20,97.50500000000004,,,,0.0,0.2495,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,6.0,10,20,98.03000000000002,,,,0.0,0.197,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,7.0,10,20,97.77500000000003,,,,0.0,0.2225,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,8.0,10,20,97.58500000000004,,,,0.0,0.2415,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,9.0,10,20,95.79500000000004,,,,0.0,0.4205,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,individual_training_seed,10.0,10,20,98.34000000000002,,,,0.0,0.166,#0072B2,o,False,0,1,0,0
within_condition_pilot,transparent_pilot,20,10,random,hnp,HNP-DQN,learned,training_seed_mean_t95ci,,10,20,97.40200000000003,96.8612908052126,97.94270919478745,0.7558593343561529,0.00075,0.2448,#0072B2,o,False,0,1,0,1
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,1.0,10,20,98.32500000000002,,,,0.0,0.1675,#D55E00,s,False,0,1,1,0
